City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,prado,-17.3411,-39.2208,23.88,82,15,4.39,BR,2024-06-27
184,santander,43.4647,-3.8044,19.14,92,100,0.45,ES,2024-06-27
185,badger,64.8,-147.5333,27.95,35,0,2.57,US,2024-06-27
186,guerrero negro,27.9769,-114.0611,22.26,62,1,7.59,MX,2024-06-27
187,greymouth,-42.4667,171.2,8.13,85,100,2.2,NZ,2024-06-27
188,eirunepe,-6.6603,-69.8736,27.42,70,89,1.14,BR,2024-06-27
189,port elizabeth,-33.918,25.5701,13.51,86,0,1.03,ZA,2024-06-27
190,tamanrasset,22.785,5.5228,33.95,8,40,5.66,DZ,2024-06-27
191,meadow lakes,61.6247,-149.6011,20.31,59,0,3.6,US,2024-06-27
192,papao,-17.75,-149.55,27.82,82,1,12.29,PF,2024-06-27
193,letlhakeng,-24.0944,25.0298,12.82,62,91,2.63,BW,2024-06-27
194,gizo,-8.103,156.8419,27.99,78,51,5.16,SB,2024-06-27
195,glencoe,-28.1783,30.147,8.41,84,4,0.97,ZA,2024-06-27
196,carutapera,-1.195,-46.02,24.11,93,51,3.16,BR,2024-06-27
197,iskateley,67.6803,53.1512,4.47,87,74,3.49,RU,2024-06-27
198,bondo,3.8146,23.6866,21.05,95,100,0.59,CD,2024-06-27
199,new norfolk,-42.7826,147.0587,7.18,86,100,0.56,AU,2024-06-27
200,hermanus,-34.4187,19.2345,17.06,52,0,4.01,ZA,2024-06-27
201,kerikeri,-35.2268,173.9474,10.51,94,6,1.38,NZ,2024-06-27
202,kamien pomorski,53.9685,14.7726,21.09,94,100,2.3,PL,2024-06-27
203,island harbour,50.724,-1.2758,16.07,71,0,1.79,GB,2024-06-27
204,jalesar,27.4833,78.3167,33.41,55,95,4.4,IN,2024-06-27
205,vanimo,-2.6741,141.3028,26.02,86,99,1.38,PG,2024-06-27
206,touros,-5.1989,-35.4608,25.03,83,3,5.75,BR,2024-06-27
207,northam,51.0333,-4.2167,13.67,84,0,8.49,GB,2024-06-27
208,rahuri,19.3833,74.65,24.89,82,100,8.58,IN,2024-06-27
209,tiksi,71.6872,128.8694,3.68,74,68,3.22,RU,2024-06-27
210,ta`u,-14.2336,-169.5144,27.35,83,59,8.74,AS,2024-06-27
211,sargur,11.9833,76.4167,20.65,90,100,3.69,IN,2024-06-27
212,colonia,50.9333,6.95,23.36,83,0,1.03,DE,2024-06-27
213,kisesa,-3.0833,34.15,17.84,63,27,3.59,TZ,2024-06-27
214,kuruman,-27.4524,23.4325,9.44,49,6,3.6,ZA,2024-06-27
215,parry sound,45.3501,-80.033,20.03,42,13,5.15,CA,2024-06-27
216,naze,28.3667,129.4833,25.51,86,90,3.31,JP,2024-06-27
217,ribeira brava,32.65,-17.0667,20.56,51,20,1.84,PT,2024-06-27
218,tual,-5.6667,132.75,26.29,89,47,6.17,ID,2024-06-27
219,nizhny tagil,57.9194,59.965,8.07,97,8,1.46,RU,2024-06-27
220,vorgashor,67.5833,63.95,3.79,93,100,5.68,RU,2024-06-27
221,namibe,-15.1961,12.1522,20.4,88,0,2.82,AO,2024-06-27
222,aioun,16.6614,-9.6149,39.4,13,12,3.16,MR,2024-06-27
223,whistler,50.1164,-122.9695,10.95,95,100,1.8,CA,2024-06-27
224,lundazi,-12.2929,33.1782,17.05,56,79,3.08,ZM,2024-06-27
225,ola,59.5833,151.2833,9.98,89,100,1.68,RU,2024-06-27
226,kosong,38.3788,128.4676,22.27,69,52,2.3,KR,2024-06-27
227,zhongxing new village,23.9591,120.6852,27.75,83,65,1.34,TW,2024-06-27
228,ormara,25.2088,64.6357,28.67,90,100,5.14,PK,2024-06-27
229,sungai raya,0.7,108.9,25.84,90,99,2.06,ID,2024-06-27
230,palu,-0.8917,119.8707,23.28,97,89,1.73,ID,2024-06-27
231,gazli,40.1333,63.45,26.66,45,33,11.13,UZ,2024-06-27
232,as sulayyil,20.4607,45.5779,35.14,12,16,2.85,SA,2024-06-27
233,puerto baquerizo moreno,-0.9,-89.6,23.55,88,75,4.18,EC,2024-06-27
234,shingu,33.7333,135.9833,23.88,97,100,7.41,JP,2024-06-27
235,klyuchi,52.2667,79.1667,22.35,65,4,1.59,RU,2024-06-27
236,kudahuvadhoo,2.6708,72.8944,28.7,73,100,4.12,MV,2024-06-27
237,erbil,36.1926,44.0106,29.9,15,0,3.6,IQ,2024-06-27
238,arteche,12.2645,125.4048,26.09,87,91,1.57,PH,2024-06-27
239,pandan,14.0453,124.1694,26.91,86,100,1.67,PH,2024-06-27
240,kodiak,57.79,-152.4072,9.73,100,100,4.12,US,2024-06-27
241,de aar,-30.6497,24.0123,11.57,50,0,2.23,ZA,2024-06-27
242,suva,-18.1416,178.4415,21.71,100,75,2.57,FJ,2024-06-27
243,susuman,62.7833,148.1667,9.16,52,86,5.12,RU,2024-06-27
244,lebu,-37.6167,-73.65,9.55,79,0,5.85,CL,2024-06-27
245,vilyuysk,63.7553,121.6247,12.04,54,2,2.79,RU,2024-06-27
246,popondetta,-8.7537,148.2534,23.39,94,98,1.04,PG,2024-06-27
247,burutu,5.3509,5.5076,25.88,85,71,3.2,NG,2024-06-27
248,castillos,-34.1667,-53.8333,11.42,79,6,5.89,UY,2024-06-27
249,nadi,-17.8,177.4167,26.0,69,20,2.06,FJ,2024-06-27
250,otradnaya,44.3933,41.5206,14.43,85,65,1.18,RU,2024-06-27
251,kolondieba,11.0882,-6.8926,24.91,76,94,3.21,ML,2024-06-27
252,belmonte,-15.8631,-38.8828,23.17,84,86,3.34,BR,2024-06-27
253,cockburn town,21.4612,-71.1419,27.93,87,38,6.92,TC,2024-06-27
254,houlton,46.1262,-67.8403,20.23,77,75,0.0,US,2024-06-27
255,aleg,17.0481,-13.9209,38.37,15,8,4.19,MR,2024-06-27
256,east end,34.5507,-92.341,33.32,47,0,0.45,US,2024-06-27
257,bucecea,47.7667,26.4333,22.93,60,0,3.6,RO,2024-06-27
258,cannonvale,-20.2833,148.7,20.66,89,80,2.72,AU,2024-06-27
259,nuku'alofa,-21.1333,-175.2,23.19,21,20,3.09,TO,2024-06-27
260,carloforte,39.145,8.3058,22.23,72,3,2.41,IT,2024-06-27
261,machico,32.7,-16.7667,20.56,75,20,4.12,PT,2024-06-27
262,haiku-pauwela,20.9219,-156.3051,29.01,66,20,9.77,US,2024-06-27
263,forster,-32.1667,152.5167,10.21,69,0,1.92,AU,2024-06-27
264,longyearbyen,78.2186,15.6401,5.91,75,75,10.29,SJ,2024-06-27
265,maicao,11.3832,-72.2432,31.02,60,53,4.54,CO,2024-06-27
266,balcarce,-37.8462,-58.2552,8.23,82,100,4.36,AR,2024-06-27
267,baskale,38.0453,44.0172,10.35,54,0,1.04,TR,2024-06-27
268,lautoka,-17.6167,177.4667,25.92,69,20,2.06,FJ,2024-06-27
269,el calafate,-50.3408,-72.2768,-4.76,81,23,0.98,AR,2024-06-27
270,minas de marcona,-15.2119,-75.1103,15.05,69,43,5.39,PE,2024-06-27
271,elliot lake,46.3834,-82.6331,18.97,40,98,1.52,CA,2024-06-27
272,khovd,48.0056,91.6419,19.5,53,100,0.77,MN,2024-06-27
273,thunder bay,48.4001,-89.3168,21.99,40,75,5.14,CA,2024-06-27
274,merritt,50.1123,-120.7942,16.29,50,100,6.71,CA,2024-06-27
275,lata,40.1629,-8.3327,21.07,99,62,0.36,PT,2024-06-27
276,polovinnoye,54.7914,65.9864,15.29,93,100,3.66,RU,2024-06-27
277,shubarshi,48.5872,57.1869,14.49,86,100,7.87,KZ,2024-06-27
278,andergrove,-21.0833,149.1833,20.91,90,100,2.78,AU,2024-06-27
279,pedersore,63.65,22.6833,17.78,66,0,3.88,FI,2024-06-27
280,fochville,-26.4886,27.4939,11.58,49,89,1.0,ZA,2024-06-27
281,greenwood,34.1668,-82.1165,28.2,69,0,4.12,US,2024-06-27
282,usinsk,65.9939,57.5281,5.01,84,98,5.71,RU,2024-06-27
283,saynshand,44.8824,110.1163,19.0,61,98,8.29,MN,2024-06-27
284,christchurch,-43.5333,172.6333,8.3,88,74,4.16,NZ,2024-06-27
285,shasta lake,40.6804,-122.3708,33.4,16,93,0.82,US,2024-06-27
286,kidal,18.4411,1.4078,37.79,12,57,4.17,ML,2024-06-27
287,callao,-12.0667,-77.15,21.34,80,39,1.96,PE,2024-06-27
288,sitka,57.0531,-135.33,16.94,72,40,3.09,US,2024-06-27
289,hovd,48.0056,91.6419,19.5,53,100,0.77,MN,2024-06-27
290,middlebury (village),44.0153,-73.1673,20.56,51,73,6.59,US,2024-06-27
291,natal,-5.795,-35.2094,25.36,83,20,4.12,BR,2024-06-27
292,rakops,-21.0167,24.3333,15.15,70,100,6.53,BW,2024-06-27
293,puerto colombia,10.9878,-74.9547,27.05,68,59,3.82,CO,2024-06-27
294,bereznik,62.8551,42.7072,13.51,80,79,1.54,RU,2024-06-27
295,bukoba,-1.3317,31.8122,20.43,65,44,2.73,TZ,2024-06-27
296,kirensk,57.7853,108.1119,16.96,60,61,1.16,RU,2024-06-27
297,anadyr,64.75,177.4833,13.28,88,75,5.0,RU,2024-06-27
298,college,64.8569,-147.8028,27.99,31,75,2.57,US,2024-06-27
299,miquelon,47.0975,-56.3814,14.0,99,80,12.24,PM,2024-06-27
300,juruti,-2.1522,-56.0922,28.28,69,67,0.53,BR,2024-06-27
301,slyudyanka,51.6594,103.7061,14.33,95,87,2.62,RU,2024-06-27
302,luwuk,-0.9516,122.7875,22.2,88,50,1.75,ID,2024-06-27
303,newman,37.3138,-121.0208,32.13,9,0,1.07,US,2024-06-27
304,hotan,37.0997,79.9269,28.59,19,50,3.94,CN,2024-06-27
305,alice springs,-23.7,133.8833,4.75,81,0,1.54,AU,2024-06-27
306,munkebo,55.4618,10.5558,18.35,98,100,3.06,DK,2024-06-27
307,akureyri,65.6835,-18.0878,7.96,81,75,7.2,IS,2024-06-27
308,kununurra,-15.7667,128.7333,15.99,88,17,0.51,AU,2024-06-27
309,oamaru,-45.0784,170.9801,5.46,75,81,2.95,NZ,2024-06-27
310,huaihua,27.5494,109.9592,23.6,92,100,3.28,CN,2024-06-27
311,fort bragg,35.139,-79.006,31.01,57,75,2.06,US,2024-06-27
312,conduaga,8.862,117.4893,25.19,91,94,1.66,PH,2024-06-27
313,ghadamis,30.1337,9.5007,36.1,13,0,5.15,LY,2024-06-27
314,port lincoln,-34.7333,135.8667,14.69,50,100,9.01,AU,2024-06-27
315,kulhudhuffushi,6.6221,73.07,28.32,80,100,7.49,MV,2024-06-27
316,beloyarskiy,63.7119,66.6722,8.88,93,100,2.97,RU,2024-06-27
317,palmer,42.1584,-72.3287,27.34,48,75,7.2,US,2024-06-27
318,nigde,37.8333,34.75,16.0,38,0,3.24,TR,2024-06-27
319,labrador city,52.9463,-66.9114,9.95,61,100,2.57,CA,2024-06-27
320,sitangkai,4.6628,119.3928,28.96,74,100,4.74,PH,2024-06-27
321,brookings,44.3114,-96.7984,19.0,95,100,6.69,US,2024-06-27
322,faya-largeau,17.9257,19.1043,34.04,8,74,5.02,TD,2024-06-27
323,qui nhon,13.7667,109.2333,25.34,90,100,1.56,VN,2024-06-27
324,hamilton,39.1834,-84.5333,29.97,47,100,1.34,US,2024-06-27
325,cherepovets,59.1333,37.9,17.7,66,69,2.65,RU,2024-06-27
326,kiama,-34.6833,150.8667,10.32,74,9,0.89,AU,2024-06-27
327,emsdetten,52.1833,7.5333,21.93,90,14,3.05,DE,2024-06-27
328,inhambane,-23.865,35.3833,20.1,75,34,4.48,MZ,2024-06-27
329,goure,13.9835,10.2704,34.83,32,2,2.36,NE,2024-06-27
330,antsiranana,-12.2787,49.2917,22.61,72,11,8.86,MG,2024-06-27
331,amga,60.8953,131.9608,8.93,76,97,2.49,RU,2024-06-27
332,uttarkashi,30.7333,78.45,19.69,88,96,1.73,IN,2024-06-27
333,nemuro,43.3236,145.575,14.01,90,82,3.89,JP,2024-06-27
334,punta arenas,-53.15,-70.9167,-0.94,93,100,1.54,CL,2024-06-27
335,paita,-5.0892,-81.1144,19.85,81,80,7.27,PE,2024-06-27
336,chepo,9.1667,-79.1,28.76,88,86,7.12,PA,2024-06-27
337,poltavka,54.3663,71.7632,18.83,65,78,3.57,RU,2024-06-27
338,howard springs,-12.497,131.047,24.95,93,87,2.31,AU,2024-06-27
339,hammerfest,70.6634,23.6821,9.25,76,9,2.06,NO,2024-06-27
340,port alfred,-33.5906,26.891,17.26,80,0,5.31,ZA,2024-06-27
341,shalqar,47.8333,59.6,17.05,78,32,7.93,KZ,2024-06-27
342,port douglas,-16.4833,145.4667,23.85,91,91,4.4,AU,2024-06-27
343,rio grande,-32.035,-52.0986,14.06,82,57,5.23,BR,2024-06-27
344,mwene-ditu,-7.0,23.45,18.03,42,16,2.32,CD,2024-06-27
345,uray,60.1247,64.7758,11.42,96,19,2.88,RU,2024-06-27
346,sosnovoborsk,56.1325,93.3589,17.73,79,1,0.65,RU,2024-06-27
347,mora,11.0461,14.1401,27.32,60,100,3.02,CM,2024-06-27
